,Document,Topic,Name,Top_n_words,Probability,Representative_document
10,log fresh coronavirus infection active case decrease accord datum update death toll increase death include fatality reconcile update state daily positivity rate record cent weekly positivity rate cent total tally covid case stand crore active case comprise cent total infection national recovery rate record cent accord ministry website number people recuperate disease increase case fatality rate record cent accord ministry website vaccine administer far nationwide vaccination drive,3,3_record_temperature_case_degree,record - temperature - case - degree - covid - heat - accord - report - state - say,0.4438711916448209,False
11,say commit work closely agree buy jet achievement show partner fully dedicate develop new area say video presentation macron also say commit provide state art efficient technology end pandemic lead exchange nation,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
12,successfully increase average ticket size double volkswagen certainly pivot transform brand premium aspirational product also change brand customer base buyer deep pocket however argue shift premium segment volkswagen expansion plan price sensitive market however number certainly agree instance german automaker volkswagen roll launch model taigun sedan semi conductor chip shortage report sale growth percent unit sell brand seem double recent success announcement new variant taigun sedan make performance line accessible buyer however even start price non base variant volkswagen make premium car auto recently sit director give critical insight brand strategy automaker pivot successful run car cost much early model mince word deliberate move premium segment gupta say exist internal combustion engine ice portfolio entire thought process gear become premium last year make huge stride early polo sedan average ticket size use lakh new taigun virtus average ticket size grown lakh know brand make huge transformation,2,2_get_battery_also_new,get - battery - also - new - launch - electric - make - offer - vehicle - price,0.85532450952521,False
13,question former governor around hour connection investigation allegation huge bribe offer clear file gubernatorial tenure srinagar team official arrive som apartment puram seek clarification regard statement record serve notice malik seek cooperation probe kick allege tenure governor offer crore bribe clearing file deal contract provide health insurance state government employee civil work relate kiru hydro electric power project agency early examine gubernatorial tenure immunity prosecution enjoy occupant end give extension register case last year request government allegation malpractice contract employee health care insurance scheme private company release contract worth crore civil work kiru electric power project private firm year last year news statement centre make farmer agitation repeal farm law recently make controversial remark blame government pulwama attack,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.8815488431540215,False
14,put speculation rest return officer accept nomination karnataka way high profile battle revenue worried nomination reject legal ground accuse conspire push electoral fray fallback option brother also file paper seat nomination prominent politician ask family member file paper substitute fear rejection also accept include bjp return officer rule discrepancy nomination file scrutiny last date withdrawal nomination dismiss plea asset case say fight last breath,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
15,chair meeting discuss range issue include trade climate change jaishankar begin day trip chair meeting thank invite tweet say appreciated perspective counterpart caribbean nation grenadine barbado trinidad representative belize bahama discuss wide range sectoral cooperation include trade economy agriculture food energy partnership capacity build high education culture domain tweet also exchange view vital issue climate change disaster resilience counter terrorism reform multilateralism close cooperation multilateral forum agree follow step include hold second joint commission meeting say early also meet secretary general exchange view intensify tie traditional well new area organisation political member nation state dependency,4,4_say_minister_visit_shah,say - minister - visit - shah - meeting - also - prime - democracy - new - country,1.0,False
16,rizon offer class truck lithium iron phosphate battery technology start production third quarter deuschle global head rizon say call reporter commercial vehicle maker truck launch rizon medium duty electric truck brand aim take like truck bus unit truck maker long anticipate shift electric vehicle evs low maintenance cost uptake slow high purchase price lack adequate charge infrastructure rizon offer class truck lithium iron phosphate battery technology start production third quarter deuschle global head rizon say call reporter distribution start fourth quarter exclusive agreement velocity vehicle group company say head daimler truck say purchase price fall vehicle receive different grant interest battery electric vehicle bevs rise base quietness comfort compare diesel truck lot drive locally emission free vehicle bevs perfect opportunity add environmental protection propose sweeping emission cut new car truck move say mean third new vehicle sell electric decade strict rule medium duty vehicle project cut emission daimler already make medium duty freightliner distribution purpose beverage delivery freightliner ecascadia wheeler aim regional distribution port service range mile depend battery variant rizon truck offer range mile mile km km mile mile company say target customer involve urban retail logistic last mile deliverie municipal work,2,2_get_battery_also_new,get - battery - also - new - launch - electric - make - offer - vehicle - price,1.0,False
17,say government take lot step control inflation continue focus instance case pulse government encourage farmer grow pulse boost domestic production also reduce import duty pulse improve local availability ask budget bring inflation sitharaman say government take lot step control inflation continue post budget discussion various stakeholder take lot step example encourage farmer sow pulse production pulse increase come sow season sitharaman tell reporter say short term step import masoor moong pulse government reduce import duty single digit completely remove make import convenient pulse available quickly cheaply say import edible oil make almost free tax last consecutive year due palm crude also route open supply edible oil easy sufficient wholesale price base inflation decline year low cent ease price manufacture item fuel power even food article turn expensive retail inflation breach upper tolerance limit touch month high cent mainly due high price food basket include cereal protein rich item,1,1_inflation_price_growth_year,inflation - price - growth - year - month - market - high - rise - rate - say,0.9181100886707114,False
18,issue advisory regard inclement weather con dition pilgrim planning go kedarnath portal go open report gaurav talwar view ongoing rain snow activity kedarnath past day pilgrim urge careful proceed yatra keep weather condition consideration say significantly kedarnath witness intermi ttent snowfall hour pose challenge government personnel engage yatra preparation advisory also say pilgrim advise bring warm clothe deal extreme cold due rain snowfall interestingly regional meteorological centre predict significant weather activity kedarnath next day,3,3_record_temperature_case_degree,record - temperature - case - degree - covid - heat - accord - report - state - say,0.5030786529203379,False
19,highway close landslide district leave vehicle strand official say landslide take district batter rain saidover vehicle strand different point km highway weather road link country official say say work reopen highway traffic incessant rain ramban banihal sector prove impediment continuous shooting stone slide block traffic shalgadi banihal arrangement make shelter shed strand passenger accord twitter handle commissioner people advise travel highway confirmation traffic control unit official say,3,3_record_temperature_case_degree,record - temperature - case - degree - covid - heat - accord - report - state - say,0.49716887619918015,False
20,keep tight check anti social element weapon mafia police go tech sign contract pune base robotic startup deliver specialise drone day night visual capability thermal imaging feature detect hidden arm ammunition drone also help police control rioting improve aerial surveillance sagar bag contract less lakh drone government acquire simple drone early surveillance purpose kumbh first time state order specialised drone advanced camera microphone generating awareness issue warning make announcement effective police sagar founder md tell toi drone weigh kg operate hour distance km single charge drone platform different payload early acquire indian use drone high sea keep surveillance warship keep eye enemy vessel pirate gun drug smuggler say company already start production specialise deliver drone police last week also say special task force recently acquire drone company anti criminal operation company also early supply mumbai police similar drone technology peak time covid pandemic sagar team deploy assist frontline warrior control crowd spread awareness covid norm vaccination product always prove pathbreake security need various security force include say company also indigenously develop deploy kind technology enable drone perform autonomous launch recovery move platform marine land,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.8221481036326324,False
21,former join presence new delhi former regular tv debate join presence vaishnaw join bjp come family say vow contribute modi mission country today move direction prime minister tell reporter strong defender bjp policy see party sharp articulate voice expel rule party bihar last year believe close party former quit follow fallout vaishnaw laud contribution praise sharp analyst take swipe say architect destroy work compromise law order corruption communalism,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
22,take dig opposition party uttar pradesh chief allege samaj party create pollution corruption launch veil attack opposition also recall questionable medical facility state allege previous government improve year back death disease unpredictable come ungrade medical facility give medical college people scare anymore previous government people double engine government complete promise meanwhile sp bsp fail engine create pollution corruption say wrestler unable give proof allegation leader back run sharan protest platform politic say join experience late husband face assam local dearly affect flooding river brahmaputra morigaon,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
23,day launch aggressive carpet bombing campaign national leader campaign trail defence campaign belegavi district know mumbai region seek vote party candidate performance double engine government pm modi crusade corruption say believe humanity justice commit sin implement religion base quota go address poll rally nominee sit mla shrimant seek vote stability remind electorate emerge single large party deny government formation opportunity fall short majority mark region bjp people karnataka give third majority effectively implement double engine government scheme defence say prosperous region district bjp play key role party reckon state region maharashtra agrarian economy sugarcane grape main crop government scheme give fund water harvesting play crucial role contain water crisis region drought use commonplace karnataka scheme centre state pipe water household adequate supply agricultural purpose change economy region say people acknowledge affirmation refer ongoing quota controversy defence say reservation line religion constitution also bid divide society try divide society religion play sanctity constitutional norm do first time people country know whole nation convert jail say take leader say latter recent walk people involvement already do none leader add issue indian strand sudan raise several leader accuse centre take measure rescue defence minister also tell audience many already evacuate reach country see ongoing conflict sudan civil senior leader say evacuate take evacuate weak strong govt never let say defence also assert believe deliver promise abolish article construction ram temple complete triple talaq abolish also say allegation political vendetta modi government baseless action corruption take merit case none irrespective background face action,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,True
24,investment approve wind power plant adani energy investment announcement come market rout adani group stock lose market value short seller last month allege improper tax haven stock manipulation apple airport conglomerate cash strap deal first major foreign investment declare bankruptcy follow economic crisis last year plant supply power investment statement say generate new job opportunity project come award strategic port terminal project colombo sri lankan struggle roll power cut year country struggle generate sufficient amount thermal coal power push government fast track renewable energy project island nation hike power price hefty last week part effort nail bailout struggle find way bad financial crisis decade group official colombo evaluate multiple project expect power plant commission say,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
25,clarity rule onshore location need otherwise crypto firm develop offshore chief executive major say ask failure last year bahama base tell conference reason need clarity legislation regulation onshore firm go build offshore haven,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
26,amount struggle experience bud cricketer maidan city parent leave city force live tent sometime even sell evening survival however fortune change completely mentor coach take home hone talent consistent score cricket exposure tour former captain see break mumbai side keep climb ladder rapidly take storm rattle fifty score read finish tournament high run getter run royal buy auction ipls franchise know invest bud cricketer year old come age grand style blister ball wankhede stadium night ultimately come lose jaiswal plenty heart scintillate strokeplay lose partner regularly end seem bother look bit perturb catch bowl arshad khan high full toss seem feel big gun jos seem struggle time jaiswal fire contribute team total good batting performance young indian history ipl see get young time see bat size score team score also big parameter individual scoring half team score breakthrough innings batter royal contribute praise former batsman turn sport hit century ipl however scintillate knock ipl solid statement prodigiously talented youngster buzz impend selection indian team get louder loud fact matter time wear blue shirt turn breakout ipl season leave hand opener game far jaiswal crack run phenomenal strike rate time write holder high run getter smash four edition tonke six come maraud blade night even team receive end sizzling blade effusive praise jaiswal watch jaiswal last year take next level ask get power say go gym good say match presentation slam thank coach help batting enjoy inning think right factoring bowler field setting work lot batting zubin special inning look keep go think wicket look focus keep run rate high get boundary say talk mantra pass cricket royal say conversation play good shot trust ability reading game situation really well get start maximise stay keep intent go innings season bat much outside powerplay today previous game show keep intent go look boundary know scoring area ability play big innings complete century know ball go boundary thank highlight day definitely happen want focus process work hard belief positive maintain good fit lifestyle help jaiswal say,6,6_run_ball_team_game,run - ball - team - game - play - match - ipl - score - wicket - century,1.0,True
27,keep tight check anti social element weapon mafia police go tech sign contract pune base robotic startup deliver specialise drone day night visual capability thermal imaging feature detect hidden arm ammunition drone also help police control rioting improve aerial surveillance sagar bag contract less lakh drone government acquire simple drone early surveillance purpose kumbh first time state order specialised drone advanced camera microphone generating awareness issue warning make announcement effective police sagar founder md tell toi drone weigh kg operate hour distance km single charge drone platform different payload early acquire indian use drone high sea keep surveillance warship keep eye enemy vessel pirate gun drug smuggler say company already start production specialise deliver drone police last week also say special task force recently acquire drone company anti criminal operation company also early supply mumbai police similar drone technology peak time covid pandemic sagar team deploy assist frontline warrior control crowd spread awareness covid norm vaccination product always prove pathbreake security need various security force include say company also indigenously develop deploy kind technology enable drone perform autonomous launch recovery move platform marine land,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.8413024360365473,False
28,daughter decease politician former minister senior advocate sidharth say order tantamount direct protect arrest agency tell give questionnaire writing answer kadapa member move protection arrest term case politically motivate implicate appear say accuse attempt show murder death heart attack hurriedly proceed cremate body informed sc mp phone signal trace crime scene date murder hear side bench say kind order intend stay proceeding extend deadline complete investigation however senior advocate ranjit step behalf tell court post matter hearing get ready response petition file narreddy sc agree stay part order direct question write night brother former pradesh chief minister find murder kadapa week election find murder kadapa week assembly election,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
29,export see tepid growth year country major export market forecast decline sharply government say growth global trade fall expect still low decline volume value trade back slow global output finance say monthly economic report high frequency indicator suggest monetary tightening start weaken global demand report say continue various agency forecast decline global growth add monetary tightening uncertainty linger pandemic ongoing conflict dampen global growth say monthly economic report release inflation risk look set diminish geopolitical tension consequent supply chain disruption add prospect tepid export growth project fast grow major economy report say project grow estimate country growth next year report say prediction accurate monsoon rain deficient lead low agricultural output high price mandate keep retail inflation tolerance band datum release last week show annual retail inflation rise central bank upper threshold first time month,1,1_inflation_price_growth_year,inflation - price - growth - year - month - market - high - rise - rate - say,1.0,False
30,flamboyant director nirmal lifestyle also director arrest city police economic offence wing many flat buyer nirmal project mulund file complaint cheating tune developer accuse take money purchaser decade ago fail deliver flat construction work start date say police source duo mulund resident produce esplanade court send police custody lodge fir mulund police case transfer eow,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.8774711599158418,False
31,say follow example court constructively interpret special marriage act give sex couple right enjoy heterosexual couple member community already live stable marriage relationship homosexuality counsel petitioner senior advocate singhvi cite verdict case say state discriminate heterosexual homosexual couple even case dispute matter essential quality relationship marriage intimacy stability social dependence homosexual relationship exactly quality intimacy stability dependence heterosexual relationship top court say celebrate path break verdict point view right person alternative sexual orientation verdict lead enactment marriage sex couple act come say petitioner seek constitution also guarantee equality sex couple discriminate deny right marriage consequential right enjoy heterosexual couple,5,5_marriage_say_rule_right,marriage - say - rule - right - information - sex - court - social - couple - provision,1.0,False
32,beat delhi capital win inaugural wpl kaur lead mumbai inaugural woman register thrill wicket victory capital summit clash brabourne stadium first ever wpl turn hit fan player tournament stage tough timeline right woman decide organise game venue mumbai fan turn sizeable number watch game brabourne stadium event garner massive attention even first bowl team right fetch bcci close crore phenomenal ride far quite challenge give time slot start wpl satisfied way thing progress much window world girl week come back start medium right team right player auction happen way tournament receive phenomenal dhumal say reason introduce sixth team right away lack quality local talent world well display exemplary skill competition leave aside ishaque ahuja shreyanka many uncapped indian player turn head national team do well last couple year girl give wpl receive hopeful big pool player fitness fielding standard improve immensely go forward team own legacy ipl franchisee see value man reach astronomical proportion wpl franchisee break even far break even concerned invest money plan place plan generate money plough game get big well pool player say also important give player associate nation opportunity wpl play inaugural edition team pick many overseas player play fifth associate nation global event centric give slot associate country help game grow globally player tv remain relevant taker digital medium month long ipl begin last week follow record medium right deal fetch board staggering sell tv digital right separately first time prove masterstroke tv right holder right owner viacom jostle give improve view experience fan game innovate game revolve fan idea make enriching fan different set auction medium right amazing partner lot market need capture far global audience concern reach fan globally say dhumal consider digital revolution take place world tv remain relevant digital change landscape taker digital give depth reach television still great market add introduction impact player dhumal add introduction impact player ipl team pick toss do mitigate toss advantage see dew play major role win toss see advantage mitigate thought introduce impact player give team chance pick team pick right add,6,6_run_ball_team_game,run - ball - team - game - play - match - ipl - score - wicket - century,1.0,False
33,describe situation sudan still complex volatile government say indian citizen far move conflict zone evacuee include people already shift country other port sudan ferried say naval ship deploy evacuation port sudan batch indian evacuee arrive mumbai military aircraft take total number indian bring back home government say indian national also speak effort evacuate foreign national say remain touch war faction force say positive response concerned party help government move citizen conflict zone bring port sudan bus,7,7_indian_sudan_evacuation_say,indian - sudan - evacuation - say - citizen - security - situation - flight - government - conflict,1.0,True
34,move expect give boost deliberation issue relate disability civil official engagement group process set stand alone disability equity group address concern mainstreame person disability step presidency first ever process civil website highlight working group promote disability equity disability inclusion leader commitment emphasis bring forward voice person disabilitie people global population majority live country population people live disability moreover rise due war conflict disaster age state aim bring together experience expertise disabled non disabled civil society advance practical vision economic development accessible sustainable inclusive working group say imperative country tackle barrier root stigma systemic inaccessibility research show lack meaningful participation inclusion person disability cost country gdp woman disabilitie other face multiple form discrimination great risk violence exclusion undermine meaningful participation economic social political arena say thematic focus area group include education employment livelihood health inclusive society environment sustainable climate host policy consultation gather recommendation person disabilitie expert grassroot national global level welcome move disability right activist goyal national coordinator group emphasise policymaker think growth development inclusive sustainable time person disability see individual need charity individual contribute society economy blind woman goyal executive director profit organisation rise flame work right woman person disability toi reach goyal also steer committee member say newly form work group take commitment inclusion next level provide stand alone dedicated space concern person disability,5,5_marriage_say_rule_right,marriage - say - rule - right - information - sex - court - social - couple - provision,0.7328510143043635,False
35,first group officer officer train academy join regiment artillery first time woman officer successfully graduate officer train academy cadet include bhutan pass hallowed portal wife clash hero late woman get commission indian make clash back indian soldier unspecified number chinese troop lose life violent face clash break chinese troop attempt unilaterally change escalation clash bilateral tie country completely different direction indian army personnel deploy beef patrol stop possible chinese aggression,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
36,okinawa praise pro ipraise receive mm frame chassis improve ergonomic autotech today launch new version praise platform praise pro ipraise early year electric wheeler manufacturer inaugurate first global research development collaboration partner deliverie new okinawa praise pro ipraise already commence interested customer book electric scooter website neart okinawa dealership country last month okinawa praise range receive new colour option company state new okinawa praise platform get host advanced technology okinawa praise pro ipraise receive mm frame chassis improve ergonomic moreover electric scooter get colour digital speedometer compatible powertrain say official statement okinawa always focus customer satisfaction get joint venture tacita set first global decide upgrade entire product range good class technology new praise platform first offer direction scooter come new platform improve ergonomic well ride position provide additional comfort rider say manage director founder company sell unit okinawa praise pro ipraise indian market,2,2_get_battery_also_new,get - battery - also - new - launch - electric - make - offer - vehicle - price,0.9333355425562891,False
37,pay floral tribute parkash sad office chandigarh score people political leader assemble pay homage political stalwart year ago modi call primary reason number year badal spend jail political activism sure number year badal spend jail debate former punjab captain amrinder often challenge badal claim spend year different prison peg year badal deny allegation leave aside number year little doubt fact badal spend time jail arrest several protest agitation major agitation badal jail separate punjabi speak state river water emergency bluestar operation tear copy spend day week month many jail coimbatore dehradun place country badal bank anecdote interview year ago badal mention tame wild kitten solitary confinement pachmarhi hilly area tiger mid radio newspaper badal spend time see grow give birth fight survival litter jail also hone gardening skill point friendship association eventually take shape current day also believe start jail emergency government moraji form emergency badal appoint union dissolve member erstwhile reconvene form current day bjp badal use bitter badal become first time month later withdraw support badal government difference place language punjab,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
38,keep ultra low interest rate announce broad review monetary policy lay groundwork new governor massive stimulus programme widely expect boj make change yield curve control ycc policy set short term interest rate target year bond yield central bank modify guidance future policy path remove pledge keep interest rate current low level also say look various monetary easing measure take past year beat deflation impact economy price bank decide conduct broad review monetary policy plan time frame around half year say statement announce policy decision source tell conduct review impact monetary policy step take long term idea recently flag drop reference covid forward guidance guidance pledge central bank make future policy likely key tool invent bank first guidance promise keep rate deflation overcome boj continue maintain stability financing mainly firm financial market hesitate take additional easing step necessary statement say post meeting news conference expect reassure market rush raise interest rate give uncertainty economy durability recent wage hike however broaden inflation pressure test ueda communication skill cast doubt recent cost drive price pressure soon consumer inflation hit beat expectation exceed target index strip fuel cost rise fast pace decade datum show forceful defense implicit cap set year bond yield draw criticism distort shape yield curve drain bond market liquidity heightening expectation ueda soon phase ycc fresh quarterly growth inflation forecast issue say expect core consumer inflation hit current fiscal year end expect inflation accelerate fiscal slow report show current projection make expect core consumer inflation hit year fiscal,1,1_inflation_price_growth_year,inflation - price - growth - year - month - market - high - rise - rate - say,0.8757112259473906,False
39,hail surat court decision reject leader plea stay conviction criminal defamation case victory judiciary people hit national spokesperson sambit say court decision blow arrogance family especially rahul family arrogance family think get away abuse backward class happen patra claim court decision prove law equal say press conference court gujarat reject rahul application stay conviction criminal defamation case modi surname remark court additional session mogera reject application allow paved way gandhi reinstatement member parliament court decision thing clear rule constitution country family preferential treatment family patra say recall say family treat differently law victory common people class also huge victory judiciary say add festive atmosphere country patra allege mobilise ecosystem conviction case last month carry movement even get statement issue ecosystem create atmosphere bias gandhi trial court judgment spokesperson allege slamming raise question conviction say today say matter much pressure politic resort buckle today entity defeat arrogance gandhi family entire ecosystem come street family ecosystem include big people country abroad swiftly come defence family arrogance add year old leader elect disqualify day low court sentence year jail connection case file mla purnesh patra say trial court deliver judgement defamation case give chance leader reply word sorry dictionary rahul apologise say word sorry say ask give arrogance apologise community ask opposition party attack include party south tejasvi surya list star campaigner poll say rather concerned unsolicited advice put lot thought say rahul yet expose front people karnataka attack community court deem fit reduce sentence show today worry lot patra add,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.977696057581698,False
